[2023-01-22 15:12:10,680] 	INFO 	33 	training.py 	get_pipeline_config() 	Pipeline configuration: PipelineConfig(pipeline_name='insurance-premium', artifact_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact')
[2023-01-22 15:12:10,680] 	INFO 	70 	training.py 	get_data_ingestion_config() 	Data ingestion config: DataIngestionConfig(data_ingestion_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230122_151207', download_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230122_151207/downloaded_files', file_name='insurance_premium', feature_store_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230122_151207/feature_store', failed_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230122_151207/failed_downloaded_files', datasource_url='mongodb+srv://nikeshkaza:OWUCXgQaZkCnE4ht@cluster0.fckbdxk.mongodb.net/?retryWrites=true&w=majority')
[2023-01-22 15:12:10,680] 	INFO 	39 	data_ingestion.py 	__init__() 	>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Starting data ingestion.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
[2023-01-22 15:12:10,680] 	INFO 	110 	data_ingestion.py 	initiate_data_ingestion() 	Started downloading json file
[2023-01-22 15:12:10,680] 	INFO 	53 	data_ingestion.py 	export_data_into_feature_store() 	Exporting data from mongodb to feature store
[2023-01-22 15:12:11,528] 	INFO 	116 	data_ingestion.py 	initiate_data_ingestion() 	Converting and combining downloaded json into parquet file
[2023-01-22 15:12:11,531] 	INFO 	89 	data_ingestion.py 	convert_files_to_parquet() 	Parquet file will be created at: /Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230122_151207/feature_store/insurance_premium
[2023-01-22 15:12:14,846] 	INFO 	128 	data_ingestion.py 	initiate_data_ingestion() 	Data ingestion artifact: DataIngestionArtifact(feature_store_file_path='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230122_151207/feature_store/insurance_premium', download_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230122_151207/downloaded_files')
[2023-01-22 15:12:14,847] 	INFO 	90 	training.py 	get_data_validation_config() 	Data preprocessing config: DataValidationConfig(accepted_data_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_validation/20230122_151207/accepted_data', rejected_data_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_validation/20230122_151207/rejected_data', file_name='insurance_premium')
[2023-01-22 15:12:14,847] 	INFO 	151 	data_validation.py 	initiate_data_validation() 	Initiating data validation
[2023-01-22 15:12:15,004] 	INFO 	51 	data_validation.py 	read_data() 	Data frame is created using file: /Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230122_151207/feature_store/insurance_premium
[2023-01-22 15:12:15,137] 	INFO 	52 	data_validation.py 	read_data() 	Number of row: 1338 and column: 7
